principal,n,fatal,nonfatal,pct_fatal
Pneumonia,746,166,580,22.3
Pneumonia aspiration,209,93,116,44.5
Lower respiratory tract infection,214,34,180,15.9
COVID-19 pneumonia,21,10,11,47.6
Respiratory tract infection,51,4,47,7.8
Upper respiratory tract infection,22,2,20,9.1
Empyema,14,0,14,0
Lung abscess,3,0,3,0
Pneumonitis,17,0,17,0
Pulmonary sepsis,2,0,2,0
Pulmonary tuberculosis,6,0,6,0
